"Well","saveBeats","includeBeats","topSelect","cutoff","noiseCutoff","preTime","postTime","removeHumTF","adjustBaseline","numBeats","numGoodBeats","startRange","stopRange","invertMeanBeatTF","noise","notes"
"A01",TRUE,"Exclude",FALSE,1,5,0.2,0.8,"None",TRUE,162,1,4317,291432,TRUE,NA,""
"A02",TRUE,"Undecided",FALSE,17,5,0.2,0.8,"None",TRUE,156,0,3641,291434,TRUE,NA,""
"A03",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"A04",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"A05",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"A06",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"A07",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"A08",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"A09",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"A10",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"A11",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"A12",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B01",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B02",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B03",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B04",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B05",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B06",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B07",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B08",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B09",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B10",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B11",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"B12",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C01",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C02",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C03",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C04",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C05",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C06",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C07",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C08",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C09",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C10",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C11",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"C12",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D01",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D02",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D03",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D04",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D05",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D06",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D07",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D08",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D09",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D10",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D11",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"D12",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E01",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E02",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E03",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E04",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E05",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E06",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E07",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E08",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E09",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E10",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E11",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"E12",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F01",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F02",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F03",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F04",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F05",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F06",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F07",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F08",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F09",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F10",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F11",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"F12",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G01",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G02",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G03",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G04",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G05",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G06",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G07",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G08",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G09",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G10",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G11",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"G12",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H01",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H02",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H03",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H04",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H05",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H06",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H07",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H08",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H09",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H10",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H11",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
"H12",FALSE,"Undecided",FALSE,NA,5,0.2,0.8,"None",TRUE,NA,NA,NA,NA,FALSE,NA,""
